CUI,Hnum,DB_ref,refcode,disease,description,category,pathways,gene,pathogen,Env-factor,carcinogen,marker,drug,comment,other_DB
C0205770,H01007,MeSH,D020288,Choroid plexus papilloma,"""Choroid plexus tumors (CPTs) are rare intraventricular papillary neoplasms of neuroectodermal origin, accounting for less than 1% of all intracranial tumors and 2-4% of pediatric brain tumors. CPTs are categorized by three distinct histologies; choroid plexus papilloma, atypical choroid plexus papilloma, and the malignant choroid plexus carcinoma. Choroid plexus papillomas outnumber choroid plexus carcinomas and are composed of a single layer of cuboidal-to-columnar cells, resting on a basement membrane overlying papillary and vascularized connective tissue.""",Cancer; Nervous system disease,,p53 [HSA:7157] [KO:K04451],,,,,,,"""ICD-10: D33.0, MeSH: D020288, OMIM: 260500"""
C0205788,H01482,MeSH,D006391,Infantile hemangioma,"""Infantile hemangiomas (IH) are neoplastic proliferations of vascular endothelial cells (ECs), characterized by a period of growth after birth, and eventual spontaneous involution. Forty percent of the lesions are associated with complications such as ulceration, bleeding, infection, pain, cardiac failure, airway compromise or eye impairment. Pathogenesis of IH is still shrouded in mystery even though various theories have been postulated to explain its origin. Recent studies provide strong evidence for the conclusion that the VEGF receptor 2 (VEGFR2) and Tumor Endothelial Marker 8  (TEM8) mutations represent risk factor mutations for hemangioma formation. In the proliferating phase, constitutive VEGFR2 signaling in ECs from hemangioma lesions affects downstream processes, including EC proliferation and migration, providing a mechanistic explanation for the rapid endothelial proliferation seen in hemangioma.""",Vascular disease,,"""TEM8 [HSA:84168] [KO:K20909], VEGFR2 [HSA:3791] [KO:K05098]""",,,,GLUT1 [HSA:6513] [KO:K07299],"""Systemic corticosteroids, Vincristine [DG:DG00690], Interferon-alpha [DG:DG01750], Bleomycin [DG:DG00705], Cyclophosphamide [DG:DG00675], Propranolol [DG:DG00305]""",ICD-O-3.1: 9131/0 Infantile hemangioma,"""ICD-10: D18.00, MeSH: D006391, OMIM: 602089"""
C0205788,H01875,MeSH,D006391,Infantile hepatic hemangioma,"""Infantile hepatic hemangioma (IHH), although rare, is the most common benign hepatic vascular tumor in the first year of age. They are sub-classified in focal, multiple and diffuse lesions, based on degree of unaffected liver parenchyma. Most lesions are clinically silent and self-limiting, whereas others can become symptomatic, manifesting as cardiac failure, fulminant hepatic failure and abdominal compartment syndrome. The term IHH is preferred to """"hemangioendothelioma"""" because the clinical and biologic behavior is similar to infantile hemangiomas (H01482) that affect the skin and other parts of the body.""",Vascular diseases,,,,,,,"""Systemic corticosteroids, Vincristine [DR:D08679], Interferon-alpha [DR:D03305], Cyclophosphamide [DR:D07760], Propranolol [DR:D08443]""",ICD-O-3.1: 9131/0 Infantile hemangioma,"""ICD-10: D18.00, MeSH: D006391"""
C0205789,H01482,MeSH,D006391,Infantile hemangioma,"""Infantile hemangiomas (IH) are neoplastic proliferations of vascular endothelial cells (ECs), characterized by a period of growth after birth, and eventual spontaneous involution. Forty percent of the lesions are associated with complications such as ulceration, bleeding, infection, pain, cardiac failure, airway compromise or eye impairment. Pathogenesis of IH is still shrouded in mystery even though various theories have been postulated to explain its origin. Recent studies provide strong evidence for the conclusion that the VEGF receptor 2 (VEGFR2) and Tumor Endothelial Marker 8  (TEM8) mutations represent risk factor mutations for hemangioma formation. In the proliferating phase, constitutive VEGFR2 signaling in ECs from hemangioma lesions affects downstream processes, including EC proliferation and migration, providing a mechanistic explanation for the rapid endothelial proliferation seen in hemangioma.""",Vascular disease,,"""TEM8 [HSA:84168] [KO:K20909], VEGFR2 [HSA:3791] [KO:K05098]""",,,,GLUT1 [HSA:6513] [KO:K07299],"""Systemic corticosteroids, Vincristine [DG:DG00690], Interferon-alpha [DG:DG01750], Bleomycin [DG:DG00705], Cyclophosphamide [DG:DG00675], Propranolol [DG:DG00305]""",ICD-O-3.1: 9131/0 Infantile hemangioma,"""ICD-10: D18.00, MeSH: D006391, OMIM: 602089"""
C0205789,H01875,MeSH,D006391,Infantile hepatic hemangioma,"""Infantile hepatic hemangioma (IHH), although rare, is the most common benign hepatic vascular tumor in the first year of age. They are sub-classified in focal, multiple and diffuse lesions, based on degree of unaffected liver parenchyma. Most lesions are clinically silent and self-limiting, whereas others can become symptomatic, manifesting as cardiac failure, fulminant hepatic failure and abdominal compartment syndrome. The term IHH is preferred to """"hemangioendothelioma"""" because the clinical and biologic behavior is similar to infantile hemangiomas (H01482) that affect the skin and other parts of the body.""",Vascular diseases,,,,,,,"""Systemic corticosteroids, Vincristine [DR:D08679], Interferon-alpha [DR:D03305], Cyclophosphamide [DR:D07760], Propranolol [DR:D08443]""",ICD-O-3.1: 9131/0 Infantile hemangioma,"""ICD-10: D18.00, MeSH: D006391"""
C0205828,H01471,MeSH,D008202,Lymphangioma,"""Lymphangiomas are congenital malformations of the lymphatic system, which is located mostly on the head and neck region. The lesions consist of dilated endothelium-lined spaces that vary in size from microscopic channels (cavernous lymphangioma) to large cysts (cystic hygroma). Although histologically benign, these lesions may expand into surrounding tissues and/or infiltrate vital structures similar to malignancies, sometimes causing life-threatening complications. The etiology of lymphangioma is not certain. The presence of lymphatic endothelial cell (LEC)-specific markers on the endothelial lining of lymphangiomas (e.g. the transcription factor Prox1) indicates that the neoplasm may result from transformed LECs and/or stromal cells. This transformation is modulated by VEGF-C, a specific lymphatic endothelial growth factor, and its receptor VEGFR-3.""",Vascular diseases,,VEGFR-3 (overexpression) [HSA:2324] [KO:K05097],,,,,Picibanil (OK-432) [DR:D08756],"""ICD-O-3.1: 9170/0 Lymphangioma, NOS""","""ICD-10: D18.1, MeSH: D008202"""
C0205833,H01667,MeSH,D008527,Medulloblastoma,"""Medulloblastoma is the most common embryonal CNS tumor of childhood and is likely composed of biologically different subsets of tumors arising from stem and/or progenitor cells of the cerebellum. Recently, four distinct molecular subgroups of medulloblastoma have been identified [WNT (wingless), SHH (sonic hedgehog), Group 3, and Group 4]. Nearly all (90 %) of WNT patients have somatic missense mutations in CTNNB1 which promote protein stabilization. Alterations in SHH subgroup most often fall within the Shh signalling pathway. The most common are somatic or germline inactivating alterations or loss of PTCH1 and SUFU, or somatic missense mutations activating SMO. Group 3 tumors are characterized by MYC amplification resulting in high MYC mRNA expression levels compared with SHH and Group 4 tumors.The most frequently mutated somatic gene in Group 4 medulloblastoma is KDM6A, a histone H3 Lys27 (H3K27) demethylase.""",Cancer,,"""PTCH1 (mutation) [HSA:5727] [KO:K06225], SUFU (mutation) [HSA:51684] [KO:K06229], SMO (mutation) [HSA:6608] [KO:K06226], Axin1 (mutation) [HSA:8312] [KO:K02157], Axin2 (mutation) [HSA:8313] [KO:K04385], APC (mutation) [HSA:324 10297] [KO:K02085], CTNNB1 (mutation) [HSA:1499] [KO:K02105], MYC (amplification) [HSA:4609] [KO:K04377], OTX2 (amplification) [HSA:5015] [KO:K18490], TP53 (mutation) [HSA:7157] [KO:K04451], NF2 (mutation) [HSA:4771] [KO:K16684], MEN1 (mutation) [HSA:4221] [KO:K14970], hT",,,,"""MYC [HSA:4609] [KO:04377], CTNNB1 [HSA:1499] [KO:02105], FSTL5 [HSA:56884]""","""Cisplatin [DR:D00275], Carboplatin [DR:D01363], Cyclophosphamide [DR:D00287 D07760], Vincristine [DR:D08679], Topotecan [DR:D02168]""",ICD-O-3: 9471/3 Desmoplastic nodular medulloblastoma,"""ICD-10: C71.6, MeSH: D008527"""
C0205834,H01556,MeSH,D008579,Meningioma,"""Meningiomas are the second-most common central nervous system tumor in adults. These tumors arise from arachnoid cells of the meninges, the covering layer of the brain. The majority of meningiomas tend to be benign, localized, and non-invasive. However, some meningiomas tend to be more aggressive with tendencies toward invasion of the surrounding brain, high propensity for recurrence, and in rare cases extracranial metastasis. Hereditary factors and ionizing radiation play an important role in the initiation of at least some meningiomas. Inactivation of the NF2 tumor suppressor gene is likely responsible for the initiation of more than half of all meningiomas and may cause a mesenchymal-like cytomorphology. Recently, novel mutations have been discovered in non-NF2 meningiomas. The somatic mutations in components of the SHH-GLI1 and AKT1-MTOR signaling pathways indicates the potential for cross talk of these pathways in the development of meningiomas.""",Cancer,,"""NF2 (mutation) [HSA:4771] [KO:K16684], SMARCB1 (mutation) [HSA:6598] [KO:K11648], SMARCE1 (mutation) [HSA:6605] [KO:K11651], SUFU (mutation) [HSA:51684] [KO:K06229], PTEN (mutation) [HSA:5728] [KO:K01110], CDKN2A (mutation) [HSA:1029] [KO:K06621], CDKN2B (mutation) [HSA:1030] [KO:K04685], TRAF7 (mutation) [HSA:84231] [KO:K10646], AKT1 (mutation) [HSA:207] [KO:K04456], KLF4 (mutation) [HSA:9314] [KO:K17846], SMO (mutation) [HSA:6608] [KO:K06226]""",,,Ionising radiation,,"""Imatinib [DG:DG00710], Hydroxyurea [DR:D00341], Interferon-alpha 2B [DG:DG01750], Octreotide [DG:DG00501]""","""ICD-O-3: 9530/0 Meningioma, NOS, ICD-O-3: 9530/1 Meningiomatosis, NOS, ICD-O-3: 9230/3 Meningioma, malignant, ICD-O-3: 9531/0 Meningothelial meningioma, ICD-O-3: 9532/0 Fibrous meningioma, ICD-O-3: 9533/0 Psammomatous meningioma, ICD-O-3: 9534/0 Angiomatous meningioma, ICD-O-3: 9535/0 Hemangioblastic meningioma, ICD-O-3: 9537/0 Transitional meningioma, ICD-O-3: 9538/1 Clear cell meningioma, ICD-O-3: 9538/3 Papillary meningioma, ICD-O-3: 9539/1 Atypical meningioma""","""ICD-10: D32.9, MeSH: D008579"""
C0206141,H01599,MeSH,D017681,Hypereosinophilic syndrome,"""Hypereosinophilic syndrome (HES) is a heterogeneous group of rare disorders characterized by marked blood or tissue eosinophilia resulting in a wide variety of clinical manifestations. A number of HES subtypes, or variants, have recently been identified. The best characterized of the clonal molecular defects implicated in myeloproliferative variant HES is the 800-kb interstitial deletion on chromosome 4q12 resulting in the fusion of 2 distinct genes, Fip1-like 1 (FIP1L1) and platelet-derived growth factor receptor-a (PDGFRA), leading to the FIP1L1-PDGFRA fusion kinase. PDGFR is a membrane-bound tyrosine kinase receptor and the fusion PDGFRA kinase has constitutive/unregulated tyrosine kinase activity. The lymphocytic HES variant is associated with T-cell clones producing interleukin-5 (IL-5) and can evolve into lymphoma. While myeloproliferative and lymphocytic HES are well established and permit elimination of the term, idiopathic, to these varieties, most HES patients do not fall into these categories and are classified as complex.""",Cancer,,FIP1L1-PDGFRA (deletion) [HSA:81608 5156] [KO:K14405 K04363],"""  Parasitic (helminths, ectoparasites, Isospora, Sarcocystis) , Fungal (coccidiomycosis) , Human immunodeficiency virus 1 (HIV-1) [GN:T40001], Human T-lymphotropic virus 1 [GN:T40003], Mycobacterium tuberculosis [GN:mtu mtc mra mtf mtb mtg mti mte mtl mtj mtuh mtuc mtue]""",,"""Penicillins [DG:DG01480], Cephalosporins [DG:DG01488], Quinolones [DG:DG01550], Sulfonamides [DG:DG01690], NSAIDs , Phenytoin [DR:D00512], Valproate [DR:D00710], Fluoxetine [DR:D00326], Amitriptyline [DR:D07448], Anti-hypertensives (ACE inhibitors, beta blockers)""",FIP1L1-PDGFRA [HSA:81608 5156] [KO:K14405 K04363],"""Prednisone [DR:D00473], Hydroxyurea [DR:D00341], Interferon-alpha [DR:D03305], Imatinib mesylate [DR:D01441], Mepolizumab [DR:D04923], Alemtuzumab [DR:D02802]""","""ICD-O-3: 9964/3 Chronic eosinophilic leukemia, NOS""","""ICD-10: D47.5, MeSH: D017681, OMIM: 607685"""
C0206142,H01599,MeSH,D017681,Hypereosinophilic syndrome,"""Hypereosinophilic syndrome (HES) is a heterogeneous group of rare disorders characterized by marked blood or tissue eosinophilia resulting in a wide variety of clinical manifestations. A number of HES subtypes, or variants, have recently been identified. The best characterized of the clonal molecular defects implicated in myeloproliferative variant HES is the 800-kb interstitial deletion on chromosome 4q12 resulting in the fusion of 2 distinct genes, Fip1-like 1 (FIP1L1) and platelet-derived growth factor receptor-a (PDGFRA), leading to the FIP1L1-PDGFRA fusion kinase. PDGFR is a membrane-bound tyrosine kinase receptor and the fusion PDGFRA kinase has constitutive/unregulated tyrosine kinase activity. The lymphocytic HES variant is associated with T-cell clones producing interleukin-5 (IL-5) and can evolve into lymphoma. While myeloproliferative and lymphocytic HES are well established and permit elimination of the term, idiopathic, to these varieties, most HES patients do not fall into these categories and are classified as complex.""",Cancer,,FIP1L1-PDGFRA (deletion) [HSA:81608 5156] [KO:K14405 K04363],"""  Parasitic (helminths, ectoparasites, Isospora, Sarcocystis) , Fungal (coccidiomycosis) , Human immunodeficiency virus 1 (HIV-1) [GN:T40001], Human T-lymphotropic virus 1 [GN:T40003], Mycobacterium tuberculosis [GN:mtu mtc mra mtf mtb mtg mti mte mtl mtj mtuh mtuc mtue]""",,"""Penicillins [DG:DG01480], Cephalosporins [DG:DG01488], Quinolones [DG:DG01550], Sulfonamides [DG:DG01690], NSAIDs , Phenytoin [DR:D00512], Valproate [DR:D00710], Fluoxetine [DR:D00326], Amitriptyline [DR:D07448], Anti-hypertensives (ACE inhibitors, beta blockers)""",FIP1L1-PDGFRA [HSA:81608 5156] [KO:K14405 K04363],"""Prednisone [DR:D00473], Hydroxyurea [DR:D00341], Interferon-alpha [DR:D03305], Imatinib mesylate [DR:D01441], Mepolizumab [DR:D04923], Alemtuzumab [DR:D02802]""","""ICD-O-3: 9964/3 Chronic eosinophilic leukemia, NOS""","""ICD-10: D47.5, MeSH: D017681, OMIM: 607685"""
C0206143,H01599,MeSH,D017681,Hypereosinophilic syndrome,"""Hypereosinophilic syndrome (HES) is a heterogeneous group of rare disorders characterized by marked blood or tissue eosinophilia resulting in a wide variety of clinical manifestations. A number of HES subtypes, or variants, have recently been identified. The best characterized of the clonal molecular defects implicated in myeloproliferative variant HES is the 800-kb interstitial deletion on chromosome 4q12 resulting in the fusion of 2 distinct genes, Fip1-like 1 (FIP1L1) and platelet-derived growth factor receptor-a (PDGFRA), leading to the FIP1L1-PDGFRA fusion kinase. PDGFR is a membrane-bound tyrosine kinase receptor and the fusion PDGFRA kinase has constitutive/unregulated tyrosine kinase activity. The lymphocytic HES variant is associated with T-cell clones producing interleukin-5 (IL-5) and can evolve into lymphoma. While myeloproliferative and lymphocytic HES are well established and permit elimination of the term, idiopathic, to these varieties, most HES patients do not fall into these categories and are classified as complex.""",Cancer,,FIP1L1-PDGFRA (deletion) [HSA:81608 5156] [KO:K14405 K04363],"""  Parasitic (helminths, ectoparasites, Isospora, Sarcocystis) , Fungal (coccidiomycosis) , Human immunodeficiency virus 1 (HIV-1) [GN:T40001], Human T-lymphotropic virus 1 [GN:T40003], Mycobacterium tuberculosis [GN:mtu mtc mra mtf mtb mtg mti mte mtl mtj mtuh mtuc mtue]""",,"""Penicillins [DG:DG01480], Cephalosporins [DG:DG01488], Quinolones [DG:DG01550], Sulfonamides [DG:DG01690], NSAIDs , Phenytoin [DR:D00512], Valproate [DR:D00710], Fluoxetine [DR:D00326], Amitriptyline [DR:D07448], Anti-hypertensives (ACE inhibitors, beta blockers)""",FIP1L1-PDGFRA [HSA:81608 5156] [KO:K14405 K04363],"""Prednisone [DR:D00473], Hydroxyurea [DR:D00341], Interferon-alpha [DR:D03305], Imatinib mesylate [DR:D01441], Mepolizumab [DR:D04923], Alemtuzumab [DR:D02802]""","""ICD-O-3: 9964/3 Chronic eosinophilic leukemia, NOS""","""ICD-10: D47.5, MeSH: D017681, OMIM: 607685"""
C0206157,H00698,MeSH,D017696,Nemaline myopathy,"""Nemaline myopathy (NM) is the most common congenital myopathy inherited in an autosomal dominant or autosomal recessive manner. It is characterized by the presence of rods or nemaline bodies, which are red-purple inclusions in myofibers detected by modified Gomori trichrome technique. The hallmark symptoms are generalized muscle weakness with facial involvement or predominant involvement of proximal limb and respiratory muscles. Currently, NM is classified into six different forms: severe congenital (neonatal) form; Amish NM, intermediate congenital form; typical congenital form; childhood-onset form; and adult-onset (late-onset) form. Mutations in several genes, encoding components of the sarcomeric thin filaments, have been identified. Mutations in ACTA1 and NEB nebulin are the most common.""",Musculoskeletal disease; Nervous system disease,,"""TPM3 [HSA:7170] [KO:K09290], NEB [HSA:4703] [KO:K18267], ACTA1 [HSA:58] [KO:K10354], TPM2 [HSA:7169] [KO:K10374], TNNT1 [HSA:7138] [KO:K10372], KBTBD13 [HSA:390594] [KO:K21913], CFL2 [HSA:1073] [KO:K05765], KLHL40 [HSA:131377] [KO:K10473], KLHL41 [HSA:10324] [KO:K10473], LMOD3 [HSA:56203] [KO:K22030], MYPN [HSA:84665] [KO:K22028]""",,,,,,,"""ICD-10: G71.2, MeSH: D017696, OMIM: 609284 256030 161800 609285 605355 609273 610687 615348 615731 616165 617336"""
C0206180,H01601,MeSH,D017728,Anaplastic large-cell lymphoma,"""Anaplastic large cell lymphoma (ALCL) is a lymphoid neoplasm characterized by a proliferation of large lymphoid cells, referred to as hallmark cells, with strong expression of CD30. The World Health Organization recognizes 3 entities: primary cutaneous ALCL (pcALCL), anaplastic lymphoma kinase (ALK)-positive ALCL, and, provisionally, ALK-negative ALCL.  pcALCL presents in the skin and, while it may involve locoregional lymph nodes, rarely disseminates. ALK-positive ALCL, by definition overexpresses an ALK-fusion gene, typically via t(2;5)(p23;35) which fuses the ALK gene on chromosome 2 with the nucleophosmin (NPM) gene on chromosome 5,  resulting in a NPM-ALK chimeric protein with constitutive tyrosine kinase activity. ALK-negative ALCLs lack ALK rearrangements and their genetic and clinical features are more variable. A subset of ALK-negative ALCLs has rearrangements at 6p25.3 involving DUSP22, a gene encoding a dual-specificity phosphatase that inhibits T-cell receptor signaling. DUSP22 rearrangements also are seen in a subset of pcALCLs.""",Cancer,,"""NPM-ALK (translocation) [HSA:4869 10361 10360 238] [KO:K11276 K11277 K11278 K05119], DUSP22-IRF4 (translocation) [HSA:56940 3662] [KO:K14165 K09445]""",,,,NPM-ALK (translocation) [HSA:4869 10361 10360 238] [KO:K11276 K11277 K11278 K05119],"""Cyclophosphamide [DR:D00287 D07760], Doxorubicin [DR:D03899], Vincristine [DR:D08679], Prednisone [DR:D00473], Brentuximab vedotin [DR:D09587]""","""ICD-O-3: 9718/3 Primary cutaneous CD30+ T-cell lymphoproliferative disorder (C44._), ICD-O-3: 9702/3 Mature T-cell lymphoma, NOS, ICD-O-3: 9714/3 Anaplastic large cell lymphoma, T cell and Null cell type""","""ICD-10: C84.6 C84.7, MeSH: D017728"""
C0206307,H00074,MeSH,D017825,Canavan disease (CD),"""Canavan disease (CD) is an autosomal recessive neurodegenerative disorder associated with mutations of the gene encoding aspartoacylase (ASPA). In humans, the CD syndrome is marked by early onset, hydrocephalus, macroencephaly, psychomotor retardation, and spongiform myelin sheath vacuolization with progressive leukodystrophy. The disease is caused by aspartoacylase deficiency resulting in accumulation of N-acetylaspartic acid (NAA) in the brain. The increased levels of NAA in CD lead to swelling or sponginess of the brain. Two mutations account for about 98% of the alleles of Ashkenazi Jewish patients, in which population the disease is highly prevalent(E285A and Y231X in ASPA protein). Mutations in the ASPA gene in non-Jewish patients are different and more diverse.""",Inherited metabolic disease; Neurodegenerative disease,,ASPA; aspartoacylase [HSA:443] [KO:K01437],,,,"""N-acetylaspartate [CPD:C01042], N-acetylaspartylglutamate [CPD:C12270]""",,"""Disease class: leukodystrophy, Affected region: cerebral white matter, Microscopic lesion: accumulation of a chemical called N-acetyl-aspartic acid (NAA) and degeneration of myelin""","""ICD-10: E75.2, MeSH: D017825, OMIM: 271900"""
C0206366,H00431,MeSH,D017887,Ossification of the posterior longitudinal ligament of spine (OPLL),"""Ossification of the posterior longitudinal ligament of spine (OPLL) is an osteogenetic disorder of the spine found among Japanese and other East Asian populations. Ectopic bone formation in the posterior longitudinal ligaments causes myelopathy in patients with OPLL. Genetic linkage studies revealed genes encoding collagens, nucleotide pyrophosphatase, and TGF-beta3 in association with susceptibility to the disease.""",Skeletal dysplasia,,"""COL11A2 (polymorphism) [HSA:1302] [KO:K19721], NPPS [HSA:5167] [KO:K01513], COL6A1 (polymorphism) [HSA:1291] [KO:K06238], TGFB3 (polymorphism) [HSA:7043] [KO:K13377]""",,"""machanical stress, nutrition, glucose intolerance, high body mass index""",,,,,"""ICD-10: M48.8, MeSH: D017887, OMIM: 602475"""
C0206366,H01707,MeSH,D017887,"""Ossified ligamentum flavum, Ossification of the yellow ligament""","""Ossified ligamentum flavum (OLF) is a condition of heterotopic lamellar bone formation within the yellow ligament. OLF is a widely described pathology in eastern Asia and rare in other parts of the world. The disease process first causes hypertrophy of the ligamentum flavum and subsequent ossification, which narrows the spinal canal and leads to myeloradiculopathy. The lower thoracic spine is most commonly affected. Previous hyperkyphosis and mechanical stress are thought to be predisposing conditions. It is tempting to think that OLF is genetically or pathologically inherited based on abnormalities of calcium or phosphate metabolism, on endocrinologic abnormalities, or on the presence of autoimmune disease. Such relationships, however, have not been documented. Treatment of cervical stenosis related to OLF is based on the standard principle of managing neural spinal abnormalities. Acute episodes of pain and onset of or increase in neurological deficits are treated with rest, external spinal immobilization with a collar or brace, and analgesics, anti-inflammatory, and/or antispasmodic medicines. Surgery is indicated for patients with acute or chronic progression of neurological deficits or persistent neurological deficits.""",Skeletal dysplasia,,,,,,,,See also H00431 Ossification of the posterior longitudinal ligament of spine.,"""ICD-10: M48.8, MeSH: D017887"""
C0206525,H01472,MeSH,D018088,Multi-drug-resistant tuberculosis,"""Multi-drug-resistant tuberculosis is generally defined as infection with M. tuberculosis strains that are resistant to isoniazid and rifampin, the first-line antibiotics for treating tuberculosis. Drug-resistant tuberculosis has reached new levels of concern because of the recent identification of strains that are resistant not only to rifampin and isoniazid but also to any fluoroquinolone and at least 1 of the second-line injectable agents (amikacin, kanamycin, and capreomycin); this type of drug-resistant tuberculosis has been designated extensively drug-resistant tuberculosis.""",Infectious disease,,,  Mycobacterium tuberculosis,,,,Delamanid [DR:D09785],See also H00342 Tuberculosis.,"""ICD-10: U84.3 U84.7, MeSH: D018088"""
C0206526,H01472,MeSH,D018088,Multi-drug-resistant tuberculosis,"""Multi-drug-resistant tuberculosis is generally defined as infection with M. tuberculosis strains that are resistant to isoniazid and rifampin, the first-line antibiotics for treating tuberculosis. Drug-resistant tuberculosis has reached new levels of concern because of the recent identification of strains that are resistant not only to rifampin and isoniazid but also to any fluoroquinolone and at least 1 of the second-line injectable agents (amikacin, kanamycin, and capreomycin); this type of drug-resistant tuberculosis has been designated extensively drug-resistant tuberculosis.""",Infectious disease,,,  Mycobacterium tuberculosis,,,,Delamanid [DR:D09785],See also H00342 Tuberculosis.,"""ICD-10: U84.3 U84.7, MeSH: D018088"""
C0206586,H01706,MeSH,D018159,Delayed endolymphatic hydrops,"""Delayed endolymphatic hydrops (DEH) is a disorder, characterized by episodic vertigo that develops some time after the onset of a profound, typically unilateral sensorineural hearing loss. DEH can be differentiated from Meniere's disease. The age of onset of symptoms is typically in later childhood and adolescence or between 40 and 60 years of age. DEH probably is caused by atrophy or fibrous obliteration of the endolymphatic resorptive system of the membranous labyrinth. It has been reported that genetic factors may sometimes be the cause of this disease. Two types of DEH exist: the ipsilateral type, in which the ear with profound hearing loss suffers progressive endolymphatic hydrops, and the contralateral type, in which the formation of progressive endolymphatic hydrops takes place in the ear opposite to the previously deafened ear. DEH requires conservative treatment, such as that typically used for Meniere's disease, including the appropriate concomitant use of diuretics, such as isosorbide or steroids for at least 3-6 months. When recurrent episodic vertigo cannot be remedied through conservative treatment, labyrinthectomy and vestibular neurectomy on the deaf ear are curative for ipsilateral DEH. However, no such surgical treatment is available for the contralateral type.""",Nervous system disease,,,,,,,"""Corticosteroid, Isosorbide [DR:D00347]""",See also H01495 Meniere disease.,"""ICD-10: H81.0, MeSH: D018159, OMIM: 612097"""
C0206613,H00400,MeSH,D018184,Parainfluenza infections,"""Human parainfluenza viruses (HPIV) are single-stranded RNA viruses belonging to the paramyxovirus family. They are the second most common causes of pediatric lower respiratory tract diseaseleading to hospitalization after respiratory syncytial virus. It can cause repeated infections throughout life, causing flu-like illness.""",Infectious disease,,,"""  Human parainfluenza virus 1 [GN:T40043], Human parainfluenza virus 2 [GN:T40042], Human parainfluenza virus 3 [GN:T40044], Human parainfluenza virus 4 [GN:T40122]""",,,,,,"""ICD-10: J12.2 J20.4, MeSH: D018184"""
C0206633,H01691,MeSH,D018207,Renal angiomyolipoma,"""Renal angiomyolipoma (AML) is one of the most common solid benign renal tumours,  composed of fat, smooth muscle, and blood vessels. About 80% of AMLs are sporadic and not associated with any genetic syndrome. Remaining cases are associated with tuberous sclerosis complex (TSC) and sporadic lymphangioleiomyomatosis (LAM). The pathogenesis of TSC is thought to result from mutations in either the TSC1 or TSC2 genes that encode the proteins tuberin and hamartin, respectively. These proteins interact with each other to form heterodimers, whose most important role is inhibition of the mTOR pathway. Loss of inhibition of mTORC1 leads to increased activation of this pathway and the formation of the lesions characteristic of TSC. Sporadic renal AML usually have mutations in TSC2, but not TSC1.""",Kidney diseases,,"""TSC1 (mutation) [HSA:7248] [KO:K07206], TSC2 (mutation) [HSA:7249] [KO:K07207]""",,,,,"""Everolimus [DR:D02714], Sirolimus [DR:D00753]""",See also H00915 Tuberous sclerosis complex (TSC),"""ICD-10: D30.0, MeSH: D018207"""
C0206634,H00049,MeSH,D018208,Myxoid liposarcoma,"""Liposarcoma(LS) represents the most common soft-tissue sarcoma of adults and occurs most often in the thigh and retroperitoneum. LSs are subclassified into well-differentiated, myxoid, round cell, and pleomorphic types. The myxoid type, the most common subtype, accounts for approximately 40% to 54% of all liposarcomas. The karyotypic hallmark of myxoid LS is the t(12;16)(q13;p11), present cytogenetically in >90% of the cases. The translocation leads to the fusion of the DDIT3(CHOP) and FUS(TLS) genes at 12q13 and 16p11, respectively, and the generation of a FUS-DDIT3 hybrid protein. In 4 cases of myxoid LS, a variant chromosomal translocation has been described, t(12;22), in which DDIT3 fuses instead with EWSR1(EWS), a gene highly related to TLS.""",Cancer,N00140  FUS-DDIT3 fusion to NFKB-mediated transcription,"""FUS-DDIT3 (translocation) [HSA:2521 1649] [KO:K13098 K04452], EWSR1-DDIT3 (translocation) [HSA:2130 1649] [KO:K13209 K04452]""",,,,"""Ki67 [HSA:4288], FUS-DDIT3 (translocation) [HSA:2521 1649], Vimentin [HSA:7431], S-100 [HSA:6271]""","""Doxorubicin [DG:DG00696], Dacarbazine [DG:DG00680], Ifosfamide [DR:D00343], Mesna [DR:D01459], Imatinib [DG:DG00710], Sunitinib [DG:DG00712]""","""ICD-O: 8852/3, Tumor type: Myxoid liposarcoma""","""ICD-10: C49, MeSH: D018208"""
C0206638,H01470,MeSH,D018212,Giant cell tumor of bone,"""Giant-cell tumor of bone (GCTB) is a rare osteolytic tumor of the bone. Although classified as a benign tumor, GCTB is characterized by local aggressiveness and risk of local recurrence. Its name is derived from the numerous multinucleated giant cells found within the tumor, which are principally responsible for the extensive bone resorption that is characteristic of GCTB. However, the neoplastic components of GCTB are the spindle-like stromal cells, which produce RANKL that recruits monocytic osteoclast precursors from blood to the tumor, and stimulates differentiation into multinucleated giant cells. Recently, denosumab (RANKL inhibitor) has become a new treatment option for locally advanced GCTB.""",Skeletal diseases,,"""RANKL (overexpression) [HSA:8600] [KO:K05473], H3F3A (mutation) [HSA:3020] [KO:K11253], TP53 (mutation) [HSA:7157] [KO:K04451], HRAS (mutation) [HSA:3265] [KO:K02833]""",,,,,"""Phenol [DG:DG00070], Liquid nitrogen [DR:D00083], Polymethylmethacrylate (PMMA) [CPD:C19504], Denosumab [DR:D03684], Bisphosphonate [DG:DG01600], IFN-alpha [DG:DG01750]""","""ICD-O-3.1: 9250/1 Giant cell tumor of bone, NOS, ICD-O-3.1: 9250/3 Giant cell tumor of bone, malignant""","""ICD-10: D48.0, MeSH: D018212"""
